Aromas of dark-skinned berry and Mediterranean herb slowly emerge from the glass. The tight palate offers mature Marasca cherry, dried sage and coconut alongside dusty, rather astringent tannins. KERIN O’KEEFE;88;Casteani 2015 Terra di Casteani (Maremma Toscana);$32;Terra di Casteani;Red Blends, Red Blends;Maremma Toscana, Tuscany, Italy;Casteani;KERIN O’KEEFE;14.5%;750 ml;Red;ID Beverage Group;5/1/2020
Bright and easygoing, this savory young red offers aromas and flavors of strawberry compote, crushed herb, star anise and camphor. Vibrant acidity and smooth tannins provide lithe support. KERIN O’KEEFE;88;Fattoi 2018 Rosso di Montalcino;$25;;Sangiovese;Rosso di Montalcino, Tuscany, Italy;Fattoi;KERIN O’KEEFE;13.5%;750 ml;Red;Tricana Imports;5/1/2020
Made with Sangiovese, Petit Verdot, Cabernet Sauvignon and Montepulciano d'Abruzzo, this suggests aromas of ripe dark-skinned fruit, sunbaked earth and hay. The dense palate evokes blackberry jam, licorice and clove alongside firm tannins. KERIN O’KEEFE;88;Guicciardini Strozzi 2017 Momi (Maremma Toscana);$30;Momi;Red Blends, Red Blends;Maremma Toscana, Tuscany, Italy;Guicciardini Strozzi;KERIN O’KEEFE;14%;750 ml;Red;Montcalm Wine Importers;5/1/2020
Aromas of black plum, tilled soil and tobacco emerge from the glass. The mature, solid palate shows blackberry jam, clove and mocha alongside firm tannins. Drink after 2022. KERIN O’KEEFE;88;Il Poggiolo 2015 Brunello di Montalcino;$65;;Sangiovese;Brunello di Montalcino, Tuscany, Italy;Il Poggiolo;KERIN O’KEEFE;14%;750 ml;Red;Enotec Imports, Inc;5/1/2020
Entirely made with Cabernet Sauvignon, this opens with sunbaked earth, toasted oak and mature black-skinned fruit aromas. The ripe palate offers prune, licorice and mocha alongside assertive tannins. KERIN O’KEEFE;88;Podere La Pace 2015 Gold Label (Maremma Toscana);$29;Gold Label;Cabernet Sauvignon;Maremma Toscana, Tuscany, Italy;Podere La Pace;KERIN O’KEEFE;14.5%;750 ml;Red;4Front Imports, LLC;5/1/2020
A blend of Sangiovese, Merlot, Cabernet Sauvignon and Syrah, this has aromas ripe dark fruit, leather and mocha. The dense palate shows mature black currant, espresso and clove alongside assertive tannins. KERIN O’KEEFE;88;Rocca di Frassinello 2017 Ornello (Maremma Toscana);$28;Ornello;Red Blends, Red Blends;Maremma Toscana, Tuscany, Italy;Rocca di Frassinello;KERIN O’KEEFE;14.5%;750 ml;Red;Vias Imports;5/1/2020
Rose, woodland berry, menthol and dark spice aromas are front and center on this fragrant wine. Linear and light on its feet, the bright palate offers red cherry, cranberry and licorice alongside racy acidity and relaxed tannins. KERIN O’KEEFE;88;Uccelliera 2018 Rosso di Montalcino;$30;;Sangiovese;Rosso di Montalcino, Tuscany, Italy;Uccelliera;KERIN O’KEEFE;14%;750 ml;Red;Skurnik Wines, Inc;5/1/2020
This has aromas of mature dark-skinned fruit, baking spice and mocha. The solid palate offers prune, star anise and roasted coffee bean alongside taut tannins. Drink through 2022. KERIN O’KEEFE;88;Verbena 2015 Brunello di Montalcino;N/A;;Sangiovese;Brunello di Montalcino, Tuscany, Italy;Verbena;KERIN O’KEEFE;15%;750 ml;Red;Regal Wine Imports Inc;5/1/2020
Aromas of dark-skinned berry, Mediterranean brush and cooking spice lead the nose. The ripe palate offers mature black plum, clove and tangerine zest alongside smooth tannins. KERIN O’KEEFE;88;Voliero 2015 Brunello di Montalcino;$65;;Sangiovese;Brunello di Montalcino, Tuscany, Italy;Voliero;KERIN O’KEEFE;14.5%;750 ml;Red;Skurnik Wines, Inc;5/1/2020
This blend of Merlot, Cabernet Sauvignon, Cabernet Franc and Petit Verdot offers aromas of scorched earth, ripe black-skinned berry and toasted almond. The mature palate conveys blackberry jam, espresso and clove alongside chewy tannins. KERIN O’KEEFE;88;Campo al Mare 2018 Bolgheri;$32;;Red Blends, Red Blends;Bolgheri, Tuscany, Italy;Campo al Mare;KERIN O’KEEFE;15%;750 ml;Red;Kobrand;5/1/2020
