This opens with dark-skinned fruit, tilled earth and mocha aromas. The medium-bodied palate offers blackberry jam, black pepper and vanilla flavors alongside dusty tannins. KERIN O’KEEFE;88;Principe Pallavicini 2016 Syrah (Lazio);$20;;Syrah;Lazio, Central Italy, Italy;Principe Pallavicini;KERIN O’KEEFE;13.5%;750 ml;Red;Vias Imports;9/1/2019
A blend of Malvasia, Greco and Bombino, this opens with aromas of citrus, acacia flower and tropical fruit. The rather straightforward palate offers juicy pineapple and Golden Delicious apple alongside fresh acidity. KERIN O’KEEFE;88;Fontana Candida 2017 Luna Mater Riserva (Frascati Superiore);$22;Luna Mater Riserva;White Blend;Frascati Superiore, Central Italy, Italy;Fontana Candida;KERIN O’KEEFE;14.5%;750 ml;White;Frederick Wildman & Sons, Ltd;9/1/2019
This blend of Montepulciano, Sangiovese and Petit Verdot has subdued aromas of dark fruit, sunbaked earth and clove. The straightforward palate offers dried black cherry, ground pepper and vanilla alongside close-grained tannins. Drink soon. KERIN O’KEEFE;87;Cantina Gaffino 2016 Red (Roma);$25;;Red Blends, Red Blends;Roma, Central Italy, Italy;Cantina Gaffino;KERIN O’KEEFE;14%;750 ml;Red;More Than Grapes;9/1/2019
Aromas of grapefruit and pineapple follow over to the tangy, light-bodied palate along with a hint of green melon. It's crisp, with racy acidity. KERIN O’KEEFE;87;Cembra 2018 Sauvignon (Trentino);N/A;;Sauvignon, Sauvignon Blanc;Trentino, Northeastern Italy, Italy;Cembra;KERIN O’KEEFE;12.5%;750 ml;White;Ethica Wines;9/1/2019
This has subtle aromas evoking lemon and green apple. The aromas follow through to the straightforward palate along with Bartlett pear, while tangy acidity gives it a bright close. KERIN O’KEEFE;87;Kellerei Kaltern Caldaro 2018 Pinot Grigio (Alto Adige);$23;;Pinot Grigio;Alto Adige, Northeastern Italy, Italy;Kellerei Kaltern Caldaro;KERIN O’KEEFE;13.5%;750 ml;White;Omniwines Distribution;9/1/2019
Yellow wildflower, mature orchard fruit and hazelnut aromas lead the way. On the bright palate, fresh acidity lifts mature Rennet apple, saline and a white almond note. KERIN O’KEEFE;87;Stefano Antonucci 2017 Le Vaglie (Verdicchio dei Castelli di Jesi Classico);$21;Le Vaglie;Verdicchio, Italian White;Verdicchio dei Castelli di Jesi Classico, Central Italy, Italy;Stefano Antonucci;KERIN O’KEEFE;13%;750 ml;White;Omniwines Distribution;9/1/2019
Aromas of citrus, crushed tomato leaf and a whiff of wet stone lift out of the glass along with a white spring flower note. Racy and light on its feet, the palate offers grapefruit and green melon along with the merest hint of saline. KERIN O’KEEFE;87;Cantina Valle Isarco 2018 Sauvignon (Alto Adige);$20;;Sauvignon, Sauvignon Blanc;Alto Adige, Northeastern Italy, Italy;Cantina Valle Isarco;KERIN O’KEEFE;13.5%;750 ml;White;Monsieur Touton Selection Ltd;9/1/2019
Made with Chardonnay, this has subdued aromas evoking ripe yellow peach and white flower. The forward, rounded palate offers ripe Bartlett pear and a hint of pineapple. KERIN O’KEEFE;87;Casata Mergè 2017 Conte Jacopo Chardonnay (Lazio);$40;Conte Jacopo;Chardonnay;Lazio, Central Italy, Italy;Casata Mergè;KERIN O’KEEFE;13%;750 ml;White;Superior Wines;9/1/2019
Aromas of cassis, baking spice and star anise lead the nose on this light-hearted Cabernet Sauvignon. The easygoing palate offers black currant, vanilla and white pepper alongside round tannins. KERIN O’KEEFE;87;Falesco 2015 Tellus Cabernet Sauvignon (Umbria);$13;Tellus;Cabernet Sauvignon;Umbria, Central Italy, Italy;Falesco;KERIN O’KEEFE;13.5%;750 ml;Red;LLS–Winebow;9/1/2019
Aromas of white stone fruits and yellow spring flowers shape the nose. On the light-bodied palate, tangy acidity accompanies yellow pear, lemon zest and a hint of beeswax. KERIN O’KEEFE;87;Zenato 2018 Pinot Grigio (Delle Venezie);N/A;;Pinot Grigio;Delle Venezie, Northeastern Italy, Italy;Zenato;KERIN O’KEEFE;12.5%;750 ml;White;LLS–Winebow;9/1/2019
Fruity aromas of green apple and honeydew follow over to the tangy palate along with a hint of almond. Bright acidity gives it a crisp finish. KERIN O’KEEFE;87;Alta Luna 2018 Pinot Grigio (Vigneti delle Dolomiti);$14;;Pinot Grigio;Vigneti delle Dolomiti, Northeastern Italy, Italy;Alta Luna;KERIN O’KEEFE;12.5%;750 ml;White;Taub Family Selections;9/1/2019
Made with Viognier, this has a shy nose that eventually reveals white flower and fennel aromas. The straightforward palate offers apricot and grapefruit. Enjoy soon. KERIN O’KEEFE;87;Cantina Gaffino 2017 Foietta Viognier (Lazio);$16;Foietta;Viognier;Lazio, Central Italy, Italy;Cantina Gaffino;KERIN O’KEEFE;13%;750 ml;White;More Than Grapes;9/1/2019
This fresh white opens with aromas of white spring flower and pear. The straightforward palate offers green apple and pineapple alongside tangy acidity. KERIN O’KEEFE;87;Corte dei Papi 2017 Passerina del Frusinate Passerina (Lazio);N/A;Passerina del Frusinate;Passerina, Italian White;Lazio, Central Italy, Italy;Corte dei Papi;KERIN O’KEEFE;13%;750 ml;White;Vias Imports;9/1/2019
