Roasted coffee bean, coconut and toasted oak aromas lead the nose. The tight, austere palate offers prune, vanilla and clove alongside close-grained, assertive tannins. KERIN O’KEEFE;87;Ricossa 2011 Riserva (Barolo);$50;Riserva;Nebbiolo;Barolo, Piedmont, Italy;Ricossa;KERIN O’KEEFE;14%;750 ml;Red;Brand Italia;10/1/2019
Delicate aromas of cedar, baking spice and dark fruit lead the nose. The straightforward palate suggests sour cherry, clove and toasted hazelnut alongside chewy tannins. KERIN O’KEEFE;87;Salvano 2015 Barolo;$36;;Nebbiolo;Barolo, Piedmont, Italy;Salvano;KERIN O’KEEFE;14.5%;750 ml;Red;Siema LLC;10/1/2019
Lifted aromas of vanilla, anise and tobacco ride over a red cherry jam core in this blend of Montepulciano and Merlot. The medium-bodied palate is oak laden, yet juicy red fruit lingers in the background and ultimately provides a fine counterbalance. ALEXANDER PEARTREE;87;Talamonti 2013 Kudos Red (Colline Pescaresi);$25;Kudos;Red Blends, Red Blends;Colline Pescaresi, Central Italy, Italy;Talamonti;ALEXANDER PEARTREE;14%;750 ml;Red;Panebianco;10/1/2019
Subdued aromas of mocha, leather and tobacco slowly emerge from the glass. The dense palate delivers sour cherry, roasted coffee bean and coconut alongside tight, astringent tannins that leave a drying finish. Drink after 2023. KERIN O’KEEFE;87;Negretti 2015 Bricco Ambrogio (Barolo);$79;Bricco Ambrogio;Nebbiolo;Barolo, Piedmont, Italy;Negretti;KERIN O’KEEFE;15%;750 ml;Red;Enoclassica Selection;10/1/2019
This opens with aromas of chopped celery, grilled herb and balsamic notes. On the palate, you'll find orange zest, licorice, powdered sage and caramelized onion alongside astringent tannins. KERIN O’KEEFE;87;La Spinetta 2016 Gallina (Barbaresco);$140;Gallina;Nebbiolo;Barbaresco, Piedmont, Italy;La Spinetta;KERIN O’KEEFE;14.5%;750 ml;Red;Indigenous Selections;10/1/2019
Grilled onion, minestrone and broth aromas lead the nose. The palate shows soy sauce and crushed dill, but it lacks fruit richness. Drying, aggressive tannins leave an astringent finish. KERIN O’KEEFE;87;La Spinetta 2016 Starderi (Barbaresco);$140;Starderi;Nebbiolo;Barbaresco, Piedmont, Italy;La Spinetta;KERIN O’KEEFE;14.5%;750 ml;Red;Indigenous Selections;10/1/2019
Earthy aromas of leather, scorched earth and dark-skinned berries lead the nose. The straightforward palate offers dried black cherry, tobacco and vanilla alongside assertive, rather astringent tannins. Drink after 2021. KERIN O’KEEFE;87;Manfredi 2015 Barolo;N/A;;Nebbiolo;Barolo, Piedmont, Italy;Manfredi;KERIN O’KEEFE;14%;750 ml;Red;1_No Submitting Co;10/1/2019
This has a shy nose that eventually reveals light scents evoking citrus, spring flowers and toasted nuts. It's lean and linear, suggesting Meyer lemon, saline and bitter almond alongside brisk acidity. KERIN O’KEEFE;87;Villa Sparina 2016 del Comune di Gavi Monterotondo (Gavi);$45;del Comune di Gavi Monterotondo;Cortese, Italian White;Gavi, Piedmont, Italy;Villa Sparina;KERIN O’KEEFE;13.5%;750 ml;White;Ethica Wines;10/1/2019
Underbrush, cracked pepper and aromas evoking soy sauce lead the way. The palate offers oak, grilled porcini and unripe cranberry alongside rustic, raspy tannins and firm acidity. You'll also detect a green note of powdered sage on the astringent close. KERIN O’KEEFE;87;Giacosa Fratelli 2016 Basarin (Barbaresco);$89;Basarin;Nebbiolo;Barbaresco, Piedmont, Italy;Giacosa Fratelli;KERIN O’KEEFE;14.5%;750 ml;Red;Montcalm Wine Importers;10/1/2019
Quiet aromas of crushed red berries and flint lead to a more intense palate of juicy strawberry and raspberry. A frame of bright acidity keeps it fresh, light and easygoing. ALEXANDER PEARTREE;87;Il Feuduccio Di S. Maria D'Orni 2018 Cerasuolo d'Abruzzo;$19;;Montepulciano, Italian Red;Cerasuolo d'Abruzzo, Central Italy, Italy;Il Feuduccio Di S. Maria D'Orni;ALEXANDER PEARTREE;13%;750 ml;Rose;Empson USA Ltd;10/1/2019
Aromas of spring flowers and honeydew shape the nose. On the lean, tangy palate, crisp acidity accompanies suggestions of green apple and lemon zest before a saline close. KERIN O’KEEFE;87;La Battistina 2018 Gavi;$17;;Cortese, Italian White;Gavi, Piedmont, Italy;La Battistina;KERIN O’KEEFE;12.5%;750 ml;White;Angelini Wine;10/1/2019
This blend of Trebbiano, Cococciola and Pecorino offers aromas of melon, citrus zest and a hint of banana on the nose. The light-bodied palate is refreshing and lively, driven by lemon and yellow apple flavors at first, with melon arising on the midpalate. The finish is crisp and clean. ALEXANDER PEARTREE;87;Masciarelli 2018 Villa Gemma White (Colline Teatine);$20;Villa Gemma;White Blend;Colline Teatine, Central Italy, Italy;Masciarelli;ALEXANDER PEARTREE;13%;750 ml;White;Vintus LLC;10/1/2019
A fruity nose of peach and pineapple juice carries to the medium-bodied palate. There's nice weight and tension to the feel, with ample acidity pushing through all that fruit-driven intensity. ALEXANDER PEARTREE;87;Bosco Nestore 2017 Eclipse (Trebbiano d'Abruzzo);$13;Eclipse;Trebbiano, Italian White;Trebbiano d'Abruzzo, Central Italy, Italy;Bosco Nestore;ALEXANDER PEARTREE;12%;750 ml;White;Noble Wine Imports;10/1/2019
Inky ruby in color, with a purple rim, this red offers a bright mix of berries on the nose—cherry, raspberry and blackberry—with hints of menthol and tobacco. It is smooth and supple on the palate, displaying a tutti-frutti blend of berries that are honed by persistent acidity and fine, sandy tannins. ALEXANDER PEARTREE;87;Caldora 2015 Yume (Montepulciano d'Abruzzo);$25;Yume;Montepulciano, Italian Red;Montepulciano d'Abruzzo, Central Italy, Italy;Caldora;ALEXANDER PEARTREE;13%;750 ml;Red;Gonzalez Byass USA;10/1/2019
Aromas of chalk, chamomile and citronella offer a vibrant start to this easygoing wine. It is rounded in feel on the palate, bolstered by bright, persistent acidity and sporting flavors of juicy citrus and melon. ALEXANDER PEARTREE;87;Cantina Tollo 2018 Made with Organic Grapes White (Terre di Chieti);$10;Made with Organic Grapes;White Blend;Terre di Chieti, Central Italy, Italy;Cantina Tollo;ALEXANDER PEARTREE;12%;750 ml;White;Vino Veritas;10/1/2019
This has delicate aromas of dark-skinned fruit, weedy underbrush and toasted hazelnut. The straightforward palate offers sour cherry, star anise and sage alongside grainy tannins. KERIN O’KEEFE;87;Casali del Barone 2016 Barbaresco;$23;;Nebbiolo;Barbaresco, Piedmont, Italy;Casali del Barone;KERIN O’KEEFE;14%;750 ml;Red;Wooden Ships;10/1/2019
Aromas of mocha, tilled soil and ripe black fruit lead the nose. The solid, straightforward palate offers black plum, vanilla and coconut alongside assertive tannins. KERIN O’KEEFE;87;Ricossa 2015 Barbaresco;$35;;Nebbiolo;Barbaresco, Piedmont, Italy;Ricossa;KERIN O’KEEFE;13.5%;750 ml;Red;Brand Italia;10/1/2019
Aromas of eucalyptus oil, exotic incense and coconut lead the nose. Reflecting the aromas, the lean, assertive palate evokes camphor, sandalwood, roasted coffee bean and a green note of powdered sage alongside astringent tannins that clench the finish. Give the tannins a few more years to unwind, then drink to capture the remaining fruit. KERIN O’KEEFE;87;Sassi San Cristoforo 2015 San Cristoforo (Barbaresco);$50;San Cristoforo;Nebbiolo;Barbaresco, Piedmont, Italy;Sassi San Cristoforo;KERIN O’KEEFE;14%;750 ml;Red;Atlas Imports;10/1/2019
The shy nose eventually reveals toasted oak, espresso and a whiff of dark fruit. The tight palate offers dried black cherry, roasted coffee bean and licorice alongside firm, astringent tannins. Drink after 2022. KERIN O’KEEFE;87;Tenuta Rocca 2015 Bussia (Barolo);$70;Bussia;Nebbiolo;Barolo, Piedmont, Italy;Tenuta Rocca;KERIN O’KEEFE;14.5%;750 ml;Red;Votto Vines Importing;10/1/2019
Dense ruby in color, with purple highlights, this wine offers condensed aromas of potpourri, frankincense, cherry and plum. The palate is driven by barrel spice tones that ride over a core of dense berry fruit, yet there's enough bright acidity and firm tannins to provide a fine counterbalance. ALEXANDER PEARTREE;87;Terzini 2016 Montepulciano d'Abruzzo;$18;;Montepulciano, Italian Red;Montepulciano d'Abruzzo, Central Italy, Italy;Terzini;ALEXANDER PEARTREE;14%;750 ml;Red;Wine Twist;10/1/2019
